name,agg_master_class,master_class,detection_count,QSO,AGN,Seyfert_1,Seyfert_2,HMXB,LMXB,XB,YSO,TTau*,Orion_V*,ra,dec
2CXO J010324.9-214621,AGN,QSO,3,0.699±0.32,0.283±0.317,0.005±0.004,0.0±0.0,0.006±0.004,0.0±0.0,0.004±0.005,0.001±0.001,0.0±0.0,0.003±0.004,15.85415096952164,-21.77258248760421
2CXO J132535.9-430003,XB,HMXB,3,0.163±0.22,0.167±0.201,0.002±0.003,0.002±0.002,0.291±0.41,0.023±0.032,0.018±0.025,0.108±0.151,0.108±0.152,0.118±0.165,201.399994814823,-43.000927388373846
2CXO J124332.6+113002,YSO,YSO,3,0.318±0.277,0.041±0.058,0.015±0.021,0.024±0.033,0.032±0.041,0.006±0.007,0.021±0.029,0.515±0.396,0.001±0.001,0.029±0.023,190.88606725099223,11.500628720963748
2CXO J132952.8+471644,XB,HMXB,3,0.0±0.0,0.015±0.01,0.047±0.028,0.001±0.001,0.486±0.24,0.181±0.143,0.269±0.263,0.0±0.0,0.0±0.0,0.0±0.0,202.470092556037,47.27896869089321
2CXO J002024.4+591525,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.315±0.446,0.038±0.053,0.009±0.012,0.0±0.0,0.624±0.431,0.0±0.0,0.013±0.014,5.102007268172883,59.2570624302704
2CXO J132523.7-430137,XB,HMXB,3,0.019±0.015,0.285±0.332,0.032±0.046,0.002±0.003,0.314±0.324,0.011±0.008,0.02±0.02,0.043±0.06,0.125±0.162,0.148±0.208,201.3491012713099,-43.027091667410296
2CXO J002313.1-720131,AGN,QSO,3,0.543±0.091,0.16±0.178,0.293±0.228,0.002±0.003,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,5.804976987876671,-72.02540666819745
2CXO J141528.7-002634,AGN,AGN,3,0.221±0.138,0.366±0.269,0.108±0.135,0.0±0.0,0.004±0.004,0.0±0.0,0.003±0.003,0.004±0.003,0.084±0.097,0.21±0.294,213.86968990433468,-0.442792985205472
2CXO J132457.8-430813,XB,HMXB,3,0.016±0.023,0.121±0.161,0.005±0.005,0.017±0.024,0.338±0.256,0.142±0.106,0.026±0.022,0.0±0.0,0.333±0.47,0.0±0.0,201.24102475850907,-43.13701728321504
2CXO J132458.1-430949,AGN,AGN,3,0.312±0.312,0.503±0.274,0.049±0.043,0.001±0.001,0.013±0.009,0.009±0.012,0.019±0.026,0.011±0.016,0.063±0.089,0.02±0.028,201.24248820392995,-43.16368617246849
2CXO J002337.1-721826,AGN,AGN,3,0.112±0.083,0.324±0.228,0.291±0.361,0.169±0.234,0.032±0.046,0.014±0.02,0.058±0.082,0.0±0.0,0.0±0.0,0.0±0.0,5.904608824313698,-72.3073935259748
2CXO J111445.5-611500,XB,LMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.999±0.001,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.001,168.6896246353706,-61.2501281287524
2CXO J122906.1+020259,Seyfert,Seyfert_1,3,0.204±0.089,0.074±0.066,0.718±0.124,0.003±0.003,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,187.27549229676663,2.049788100232034
2CXO J122907.2+020401,XB,LMXB,3,0.001±0.001,0.356±0.284,0.001±0.001,0.0±0.0,0.138±0.076,0.474±0.338,0.0±0.0,0.022±0.031,0.0±0.0,0.007±0.01,187.2802452001223,2.067002750328158
2CXO J002519.7-123303,YSO,YSO,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.001±0.001,0.135±0.155,0.0±0.0,0.406±0.285,0.257±0.36,0.2±0.022,6.332395641287462,-12.551077312189353
2CXO J223139.3+392154,XB,HMXB,3,0.006±0.009,0.054±0.075,0.001±0.002,0.298±0.422,0.584±0.384,0.056±0.061,0.001±0.001,0.0±0.0,0.0±0.0,0.0±0.0,337.91395839826623,39.365173747405166
2CXO J002537.9-721523,AGN,QSO,3,0.516±0.205,0.188±0.094,0.013±0.006,0.0±0.0,0.03±0.018,0.249±0.174,0.004±0.003,0.0±0.0,0.0±0.0,0.0±0.0,6.4081785573073375,-72.25650268897047
2CXO J002540.8-122811,Seyfert,Seyfert_1,3,0.065±0.093,0.216±0.306,0.308±0.43,0.225±0.317,0.003±0.002,0.001±0.001,0.03±0.037,0.022±0.023,0.12±0.127,0.009±0.008,6.420172314567196,-12.469850898791885
2CXO J010147.0-492015,AGN,AGN,3,0.103±0.085,0.229±0.164,0.115±0.102,0.147±0.203,0.204±0.043,0.174±0.146,0.028±0.025,0.001±0.001,0.0±0.0,0.0±0.0,15.44623067779861,-49.33761030504216
2CXO J010214.6-491916,Seyfert,Seyfert_1,3,0.389±0.31,0.059±0.064,0.447±0.307,0.002±0.003,0.016±0.022,0.001±0.001,0.086±0.113,0.0±0.0,0.0±0.0,0.001±0.001,15.560921719241264,-49.321307864976106
2CXO J123044.6+122140,Seyfert,Seyfert_1,3,0.203±0.191,0.162±0.08,0.247±0.183,0.006±0.006,0.22±0.193,0.043±0.058,0.034±0.026,0.051±0.063,0.001±0.002,0.034±0.047,187.68589710659944,12.361301025940469
2CXO J010223.8-220735,AGN,QSO,3,0.434±0.352,0.4±0.392,0.113±0.154,0.0±0.0,0.011±0.015,0.033±0.037,0.0±0.0,0.0±0.0,0.002±0.003,0.006±0.009,15.599178816051731,-22.126424709034264
2CXO J123203.8-161146,XB,LMXB,3,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.012±0.016,0.988±0.016,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,188.01597922766248,-16.196277245279283
